Product_ID,Product_Category,Current_Stock,Supplier_Cost_USD,Lead_Time_Days,Daily_Sales_Velocity,Supplier_Name,Market_Trend_Score,Retail_Price_USD
GT-PROD-00001,VR Headsets,24,1200.68,9,11.9,NextGen Supply,55,1549.69
GT-PROD-00002,Wearables,472,1200.68,22,11.9,InnoVision,50,1554.78
GT-PROD-00003,High-End Laptops,194,1200.68,6,11.9,TechCorp,51,1665.08
GT-PROD-00004,High-End Laptops,133,1200.68,20,11.9,GlobalCircuits,95,1849.74
GT-PROD-00005,Smart Home Hubs,363,1200.68,20,11.9,InnoVision,73,1708.77
GT-PROD-00006,Drones,269,1200.68,8,11.9,TechCorp,66,1479.05
GT-PROD-00007,VR Headsets,499,1200.68,17,11.9,NextGen Supply,73,1476
GT-PROD-00008,VR Headsets,421,1200.68,23,11.9,InnoVision,34,1853.66
GT-PROD-00009,Drones,2,1200.68,9,11.9,InnoVision,36,1681.43
GT-PROD-00010,Smart Home Hubs,94,1200.68,23,11.9,NextGen Supply,44,1901.81
GT-PROD-00011,Drones,315,1200.68,6,11.9,GlobalCircuits,95,1748.64
GT-PROD-00012,High-End Laptops,230,1200.68,7,11.9,InnoVision,70,1854.88
GT-PROD-00013,Drones,133,1200.68,7,11.9,TechCorp,29,1707.16
GT-PROD-00014,Smartphones,435,1200.68,10,11.9,InnoVision,48,1768.82
GT-PROD-00015,Smartphones,76,1200.68,9,11.9,InnoVision,91,1462.91
GT-PROD-00016,Smartphones,317,1200.68,3,11.9,InnoVision,96,1623.29
GT-PROD-00017,Wearables,281,1200.68,26,11.9,TechCorp,96,1909.52
GT-PROD-00018,Drones,276,1200.68,21,11.9,InnoVision,30,1470.5
GT-PROD-00019,Smart Home Hubs,425,1200.68,14,11.9,TechCorp,65,1482.57
GT-PROD-00020,High-End Laptops,449,1200.68,17,11.9,GlobalCircuits,76,1533.41
GT-PROD-00021,Drones,211,1200.68,14,11.9,NextGen Supply,62,1761.06
GT-PROD-00022,Wearables,285,1200.68,22,11.9,TechCorp,46,1492.25
GT-PROD-00023,VR Headsets,482,1200.68,22,11.9,GlobalCircuits,58,1711.83
GT-PROD-00024,High-End Laptops,201,1200.68,7,11.9,NextGen Supply,32,1829.88
GT-PROD-00025,Smartphones,116,1200.68,23,11.9,InnoVision,16,1602.2
GT-PROD-00026,AI Processors,425,1200.68,18,11.9,GlobalCircuits,88,1622.44
GT-PROD-00027,Smart Home Hubs,479,1200.68,22,11.9,GlobalCircuits,88,1520.15
GT-PROD-00028,AI Processors,73,1200.68,24,11.9,GlobalCircuits,89,1568.77
GT-PROD-00029,Smartphones,176,1200.68,15,11.9,TechCorp,94,1628.05
GT-PROD-00030,VR Headsets,101,1200.68,29,11.9,InnoVision,81,1488.87
GT-PROD-00031,VR Headsets,123,1200.68,10,11.9,InnoVision,94,1885.72
GT-PROD-00032,VR Headsets,191,1200.68,15,11.9,GlobalCircuits,40,1626.52
GT-PROD-00033,Smart Home Hubs,263,1200.68,27,11.9,TechCorp,27,1483.5
GT-PROD-00034,Smart Home Hubs,295,1200.68,22,11.9,GlobalCircuits,14,1477.87
GT-PROD-00035,AI Processors,267,1200.68,10,11.9,GlobalCircuits,53,1643.57
GT-PROD-00036,Wearables,317,1200.68,16,11.9,NextGen Supply,49,1465.97
GT-PROD-00037,AI Processors,421,1200.68,16,11.9,GlobalCircuits,48,1783.44
GT-PROD-00038,High-End Laptops,48,1200.68,27,11.9,GlobalCircuits,44,1786.83
GT-PROD-00039,Smart Home Hubs,343,1200.68,18,11.9,NextGen Supply,39,1453.47
GT-PROD-00040,Wearables,107,1200.68,6,11.9,TechCorp,46,1578.78
GT-PROD-00041,AI Processors,127,1200.68,7,11.9,NextGen Supply,76,1841.77
GT-PROD-00042,AI Processors,200,1200.68,5,11.9,InnoVision,13,1516.93
GT-PROD-00043,VR Headsets,368,1200.68,27,11.9,NextGen Supply,95,1531.71
GT-PROD-00044,Drones,24,1200.68,17,11.9,NextGen Supply,82,1625.06
GT-PROD-00045,Wearables,348,1200.68,27,11.9,TechCorp,15,1645.83
GT-PROD-00046,Smart Home Hubs,267,1200.68,13,11.9,GlobalCircuits,69,1481.19
GT-PROD-00047,VR Headsets,290,1200.68,23,11.9,TechCorp,32,1812.75
GT-PROD-00048,VR Headsets,242,1200.68,23,11.9,TechCorp,75,1869.32
GT-PROD-00049,VR Headsets,87,1200.68,15,11.9,GlobalCircuits,33,1605.26
GT-PROD-00050,AI Processors,78,1200.68,25,11.9,NextGen Supply,11,1762.23
GT-PROD-00051,Drones,332,1200.68,25,11.9,TechCorp,46,1534.73
GT-PROD-00052,AI Processors,246,1200.68,21,11.9,NextGen Supply,96,1662.32
GT-PROD-00053,VR Headsets,382,1200.68,14,11.9,InnoVision,91,1914.12
GT-PROD-00054,AI Processors,297,1200.68,28,11.9,NextGen Supply,55,1918.85
GT-PROD-00055,High-End Laptops,278,1200.68,13,11.9,InnoVision,55,1493.66
GT-PROD-00056,VR Headsets,493,1200.68,23,11.9,GlobalCircuits,50,1907.92
GT-PROD-00057,Smart Home Hubs,58,1200.68,13,11.9,InnoVision,30,1904.41
GT-PROD-00058,Smartphones,371,1200.68,21,11.9,NextGen Supply,13,1895.19
GT-PROD-00059,Smart Home Hubs,455,1200.68,13,11.9,GlobalCircuits,24,1848.1
GT-PROD-00060,Wearables,322,1200.68,23,11.9,InnoVision,92,1883.05
GT-PROD-00061,Drones,35,1200.68,12,11.9,NextGen Supply,36,1453.74
GT-PROD-00062,Drones,217,1200.68,21,11.9,GlobalCircuits,97,1481.18
GT-PROD-00063,Drones,422,1200.68,12,11.9,InnoVision,98,1609.05
GT-PROD-00064,High-End Laptops,481,1200.68,9,11.9,TechCorp,15,1868.18
GT-PROD-00065,AI Processors,57,1200.68,27,11.9,InnoVision,24,1572.09
GT-PROD-00066,Smart Home Hubs,331,1200.68,14,11.9,GlobalCircuits,77,1791.24
GT-PROD-00067,AI Processors,312,1200.68,6,11.9,InnoVision,10,1518.28
GT-PROD-00068,Drones,445,1200.68,24,11.9,InnoVision,78,1626.1
GT-PROD-00069,Smart Home Hubs,40,1200.68,19,11.9,InnoVision,99,1750.33
GT-PROD-00070,Smart Home Hubs,370,1200.68,26,11.9,InnoVision,85,1900.62
GT-PROD-00071,Smartphones,280,1200.68,23,11.9,NextGen Supply,81,1735.67
GT-PROD-00072,Wearables,253,1200.68,9,11.9,NextGen Supply,47,1844.67
GT-PROD-00073,VR Headsets,143,1200.68,5,11.9,InnoVision,75,1835.44
GT-PROD-00074,Wearables,463,1200.68,20,11.9,InnoVision,25,1747.11
GT-PROD-00075,Wearables,149,1200.68,10,11.9,NextGen Supply,42,1878.33
GT-PROD-00076,VR Headsets,130,1200.68,17,11.9,NextGen Supply,55,1678.08
GT-PROD-00077,Smartphones,330,1200.68,13,11.9,NextGen Supply,98,1907.39
GT-PROD-00078,Smart Home Hubs,64,1200.68,9,11.9,InnoVision,46,1801.65
GT-PROD-00079,High-End Laptops,263,1200.68,3,11.9,InnoVision,18,1587.55
GT-PROD-00080,Wearables,446,1200.68,27,11.9,NextGen Supply,91,1851.61
GT-PROD-00081,VR Headsets,99,1200.68,23,11.9,GlobalCircuits,89,1557.05
GT-PROD-00082,VR Headsets,190,1200.68,13,11.9,GlobalCircuits,25,1642.57
GT-PROD-00083,Wearables,425,1200.68,7,11.9,TechCorp,95,1507.32
GT-PROD-00084,AI Processors,412,1200.68,24,11.9,TechCorp,12,1916.57
GT-PROD-00085,VR Headsets,341,1200.68,8,11.9,NextGen Supply,21,1533.51
GT-PROD-00086,Smart Home Hubs,387,1200.68,28,11.9,GlobalCircuits,78,1918.66
GT-PROD-00087,Smartphones,115,1200.68,15,11.9,InnoVision,95,1902.31
GT-PROD-00088,Wearables,291,1200.68,17,11.9,GlobalCircuits,34,1513.82
GT-PROD-00089,Smart Home Hubs,409,1200.68,27,11.9,GlobalCircuits,35,1764.45
GT-PROD-00090,AI Processors,237,1200.68,15,11.9,NextGen Supply,96,1810.67
GT-PROD-00091,Smart Home Hubs,483,1200.68,8,11.9,TechCorp,60,1466.75
GT-PROD-00092,Drones,190,1200.68,28,11.9,TechCorp,94,1662.52
GT-PROD-00093,Smart Home Hubs,240,1200.68,6,11.9,TechCorp,20,1887.33
GT-PROD-00094,High-End Laptops,234,1200.68,10,11.9,InnoVision,27,1533.13
GT-PROD-00095,VR Headsets,427,1200.68,28,11.9,GlobalCircuits,69,1662.01
GT-PROD-00096,Smartphones,29,1200.68,23,11.9,NextGen Supply,32,1780.49
GT-PROD-00097,AI Processors,435,1200.68,13,11.9,GlobalCircuits,87,1579.78
GT-PROD-00098,High-End Laptops,33,1200.68,24,11.9,NextGen Supply,83,1861.4
GT-PROD-00099,High-End Laptops,379,1200.68,11,11.9,NextGen Supply,80,1696.38
GT-PROD-00100,Drones,301,1200.68,28,11.9,NextGen Supply,42,1914.6
GT-PROD-00101,Smart Home Hubs,410,1200.68,20,11.9,NextGen Supply,25,1520.87
GT-PROD-00102,AI Processors,182,1200.68,17,11.9,GlobalCircuits,36,1762.49
GT-PROD-00103,Drones,310,1200.68,26,11.9,NextGen Supply,16,1455.88
GT-PROD-00104,AI Processors,472,1200.68,22,11.9,NextGen Supply,95,1721.81
GT-PROD-00105,Drones,78,1200.68,19,11.9,GlobalCircuits,78,1551.48
GT-PROD-00106,AI Processors,254,1200.68,15,11.9,InnoVision,34,1532.75
GT-PROD-00107,Drones,21,1200.68,20,11.9,InnoVision,53,1823.95
GT-PROD-00108,AI Processors,257,1200.68,25,11.9,TechCorp,23,1891.38
GT-PROD-00109,VR Headsets,77,1200.68,10,11.9,InnoVision,59,1754.47
GT-PROD-00110,Smart Home Hubs,48,1200.68,13,11.9,GlobalCircuits,15,1757.07
GT-PROD-00111,VR Headsets,112,1200.68,29,11.9,TechCorp,21,1538.08
GT-PROD-00112,Wearables,466,1200.68,15,11.9,NextGen Supply,91,1493.53
GT-PROD-00113,High-End Laptops,399,1200.68,16,11.9,NextGen Supply,10,1682.62
GT-PROD-00114,AI Processors,124,1200.68,16,11.9,TechCorp,94,1500.3
GT-PROD-00115,High-End Laptops,485,1200.68,28,11.9,TechCorp,63,1674.15
GT-PROD-00116,Wearables,399,1200.68,21,11.9,InnoVision,77,1739.53
GT-PROD-00117,High-End Laptops,404,1200.68,11,11.9,TechCorp,92,1796.51
GT-PROD-00118,Wearables,312,1200.68,15,11.9,NextGen Supply,44,1661.14
GT-PROD-00119,AI Processors,349,1200.68,23,11.9,NextGen Supply,13,1851.02
GT-PROD-00120,Smart Home Hubs,470,1200.68,20,11.9,InnoVision,99,1549.27
GT-PROD-00121,Wearables,186,1200.68,13,11.9,InnoVision,82,1822.84
GT-PROD-00122,Drones,203,1200.68,24,11.9,GlobalCircuits,75,1647.22
GT-PROD-00123,AI Processors,8,1200.68,17,11.9,InnoVision,45,1670.46
GT-PROD-00124,Drones,313,1200.68,3,11.9,InnoVision,67,1456.73
GT-PROD-00125,VR Headsets,362,1200.68,13,11.9,InnoVision,70,1914.36
GT-PROD-00126,Wearables,352,1200.68,4,11.9,GlobalCircuits,94,1483.88
GT-PROD-00127,High-End Laptops,398,1200.68,3,11.9,InnoVision,54,1456.14
GT-PROD-00128,Drones,273,1200.68,11,11.9,TechCorp,11,1456.93
GT-PROD-00129,VR Headsets,282,1200.68,19,11.9,GlobalCircuits,26,1714.37
GT-PROD-00130,Drones,195,1200.68,18,11.9,TechCorp,17,1907.83
GT-PROD-00131,Wearables,396,1200.68,15,11.9,NextGen Supply,12,1723.39
GT-PROD-00132,Drones,22,1200.68,29,11.9,TechCorp,58,1624.81
GT-PROD-00133,AI Processors,160,1200.68,15,11.9,InnoVision,62,1821.4
GT-PROD-00134,AI Processors,34,1200.68,20,11.9,GlobalCircuits,49,1793.12
GT-PROD-00135,High-End Laptops,258,1200.68,14,11.9,TechCorp,16,1918.49
GT-PROD-00136,High-End Laptops,15,1200.68,22,11.9,TechCorp,24,1479.2
GT-PROD-00137,Smartphones,399,1200.68,14,11.9,NextGen Supply,41,1900.71
GT-PROD-00138,AI Processors,426,1200.68,11,11.9,GlobalCircuits,57,1861.59
GT-PROD-00139,High-End Laptops,410,1200.68,10,11.9,InnoVision,10,1789.6
GT-PROD-00140,VR Headsets,73,1200.68,17,11.9,GlobalCircuits,14,1552.78
GT-PROD-00141,Smartphones,312,1200.68,14,11.9,TechCorp,54,1888.02
GT-PROD-00142,AI Processors,491,1200.68,10,11.9,TechCorp,19,1588.13
GT-PROD-00143,Smartphones,21,1200.68,19,11.9,NextGen Supply,72,1886.49
GT-PROD-00144,Wearables,372,1200.68,9,11.9,InnoVision,37,1628.08
GT-PROD-00145,High-End Laptops,285,1200.68,15,11.9,NextGen Supply,74,1596.7
GT-PROD-00146,AI Processors,161,1200.68,13,11.9,NextGen Supply,42,1451.12
GT-PROD-00147,Smart Home Hubs,312,1200.68,3,11.9,NextGen Supply,35,1825.62
GT-PROD-00148,High-End Laptops,351,1200.68,24,11.9,GlobalCircuits,31,1730.72
GT-PROD-00149,Smartphones,140,1200.68,18,11.9,InnoVision,82,1488.64
GT-PROD-00150,High-End Laptops,81,1200.68,21,11.9,TechCorp,16,1703.52
GT-PROD-00151,High-End Laptops,376,1200.68,24,11.9,GlobalCircuits,56,1714.31
GT-PROD-00152,VR Headsets,261,1200.68,18,11.9,GlobalCircuits,85,1463.54
GT-PROD-00153,AI Processors,378,1200.68,6,11.9,NextGen Supply,16,1798.71
GT-PROD-00154,Smartphones,278,1200.68,18,11.9,NextGen Supply,85,1496.22
GT-PROD-00155,Wearables,456,1200.68,26,11.9,InnoVision,60,1827.54
GT-PROD-00156,Smart Home Hubs,196,1200.68,6,11.9,GlobalCircuits,60,1507.29
GT-PROD-00157,Wearables,247,1200.68,7,11.9,InnoVision,64,1520.23
GT-PROD-00158,Wearables,443,1200.68,20,11.9,TechCorp,31,1786.79
GT-PROD-00159,AI Processors,234,1200.68,7,11.9,InnoVision,73,1758.55
GT-PROD-00160,Drones,36,1200.68,15,11.9,TechCorp,18,1532.7
GT-PROD-00161,VR Headsets,269,1200.68,17,11.9,GlobalCircuits,86,1596.71
GT-PROD-00162,High-End Laptops,13,1200.68,29,11.9,GlobalCircuits,66,1748.2
GT-PROD-00163,Smart Home Hubs,248,1200.68,10,11.9,TechCorp,12,1914.89
GT-PROD-00164,VR Headsets,151,1200.68,21,11.9,NextGen Supply,54,1604.85
GT-PROD-00165,Smart Home Hubs,433,1200.68,4,11.9,GlobalCircuits,28,1739.84
GT-PROD-00166,VR Headsets,283,1200.68,19,11.9,InnoVision,41,1534.78
GT-PROD-00167,Wearables,416,1200.68,10,11.9,TechCorp,40,1684.83
GT-PROD-00168,Smart Home Hubs,197,1200.68,11,11.9,NextGen Supply,41,1859.95
GT-PROD-00169,Smart Home Hubs,280,1200.68,13,11.9,GlobalCircuits,98,1751.24
GT-PROD-00170,Smartphones,304,1200.68,19,11.9,TechCorp,88,1689.39
GT-PROD-00171,Wearables,470,1200.68,27,11.9,TechCorp,91,1725.4
